Size (kW),recip_engine,micro_turbine,combustion_turbine,fuel_cell
30,0.75,0.78,N/A,N/A
60,N/A,1.56,N/A,N/A
100,2.4,N/A,N/A,N/A
190,N/A,3.04,N/A,N/A
320,N/A,3.84,N/A,N/A
440,N/A,N/A,N/A,15.84
630,13.23,N/A,N/A,N/A
950,N/A,11.4,14.25,N/A
"1,140",21.66,N/A,N/A,N/A
"1,290",N/A,15.48,N/A,N/A
"1,400",N/A,N/A,N/A,56.0
"1,800",N/A,N/A,25.2,N/A
"3,300",52.8,N/A,42.9,N/A
"5,400",N/A,N/A,70.2,N/A
"7,500",N/A,N/A,90,N/A
"9,300",83.7,N/A,N/A,372.0
"14,000",N/A,N/A,140,N/A
"20,000",N/A,N/A,180,N/A
